Year,Units,Value
2010,relative to gdp,19.7
2011,relative to gdp,20.2
2012,relative to gdp,20.2
2013,relative to gdp,19.9
2014,relative to gdp,20.2
2015,relative to gdp,20.3
2016,relative to gdp,20.7
2017,relative to gdp,20.4
2018,relative to gdp,20.1
2019,relative to gdp,19.1
2020,relative to gdp,17.8
2010,as proportion of total gross value added,21.9
2011,as proportion of total gross value added,22.5
2012,as proportion of total gross value added,22.4
2013,as proportion of total gross value added,22.2
2014,as proportion of total gross value added,22.5
2015,as proportion of total gross value added,22.6
2016,as proportion of total gross value added,22.9
2017,as proportion of total gross value added,22.7
2018,as proportion of total gross value added,22.3
2019,as proportion of total gross value added,21.2
2020,as proportion of total gross value added,19.7
2010,eur per inhabitant,6291
2011,eur per inhabitant,6789
2012,eur per inhabitant,6880
2013,eur per inhabitant,6946
2014,eur per inhabitant,7311
2015,eur per inhabitant,7538
2016,eur per inhabitant,7865
2017,eur per inhabitant,8054
2018,eur per inhabitant,8130
2019,eur per inhabitant,7933
2020,eur per inhabitant,7141
